imageID,p1,p2,p3,p4,p5,p6,p7,p8,p9,melanoom_truth
ISIC_0000000,0.0,0.0,1.4528861488441107,9.166341463809202,0.0,51.72193295703026,19.875102676671396,17.943107763032742,0.0,0.0
ISIC_0000001,0.0,0.0,0.0,0.0,0.0,61.858647666489354,1.0991412601896868,37.14111756375378,0.0,0.0
ISIC_0000002,0.0022354664747141688,0.0,0.008941865898856675,5.418770734707145,0.0044709329494283375,7.886725722791588,86.79645681372703,0.08403449923612662,0.0,1.0
ISIC_0000003,24.07549468256296,0.003929730626387491,0.0,0.007859461252774981,2.4364329883602442,65.38089329652188,8.209207278523468,0.07508787810598684,0.0,0.0
ISIC_0000004,32.87596105989157,0.0,0.23581755058330514,63.799876839954685,0.01871567861772263,0.13100975032405843,3.166692822118669,0.031923447807746204,0.0,1.0
ISIC_0000006,0.0,0.03732646186946612,0.0,0.03732646186946612,0.0,29.907827572909735,70.18307993006368,0.3109566010368923,0.0,0.0
ISIC_0000007,0.0,0.0,0.0,0.0,0.0,62.341139363388685,37.50157217837247,0.5769675012778767,0.0,0.0
ISIC_0000008,31.882431859566335,0.0,0.0,0.0,5.955148288314717,50.929438110631885,11.419129990412022,0.06334038006532296,0.0,0.0
ISIC_0000009,8.280609815435461,0.0,0.0,0.0,1.4040635039840699,77.11031112947806,13.303425226202004,0.1038073968787972,0.0,0.0
ISIC_0000010,0.0,0.0,0.0,0.0,0.0,65.01472389592683,34.55519414193228,0.8318550289508425,0.0,0.0
ISIC_0000011,5.866598530608029,0.0,0.0,0.0,0.47225914611417863,89.9694385342865,4.006060342899585,0.06282466677716567,0.0,0.0
ISIC_0000012,0.44984742208136214,0.0,0.0,0.0,0.0,49.32674776039979,50.51982135809384,0.13028415843041946,0.0,0.0
ISIC_0000013,0.6745929987460727,0.0,0.0,0.0,0.0,44.16095888922549,4.326795258350836,51.01946873108868,0.0,1.0
ISIC_0000014,26.429704907796776,0.0,0.0,0.0,35.49005113306255,36.11575204149581,2.165319285483583,0.045338833055261374,0.0,0.0
ISIC_0000015,24.597862675029035,0.0,0.0,0.0,12.035107551291624,57.47208502572463,6.127233327221622,0.061714877417471704,0.0,0.0
ISIC_0000016,0.0,0.0,0.5242296116167605,1.7215024020189102,0.0,74.96821658772332,19.76514742121515,3.2641101525917664,0.0,0.0
ISIC_0000017,8.243297350451392,0.0,0.0,0.0,0.5835191996621694,76.1405463141271,15.097470636035382,0.0917398086248958,0.0,0.0
ISIC_0000018,28.077268102996417,0.0,0.0,0.0,15.093335700286135,44.27248947320046,12.681399561347433,0.04795071891520868,0.0,0.0
ISIC_0000019,16.82947461267669,0.0,0.0,0.0,10.095774498069957,31.637884056203337,41.54263160066742,0.03882721147244857,0.0,0.0
ISIC_0000020,50.116615724551906,0.0,0.0,0.0246179206157061,7.027048673527664,10.938562726912076,32.030650045546494,0.03451696520314559,0.0,0.0
ISIC_0000021,75.86253308475732,0.0,0.0,0.0,9.331748846821917,14.680078631793977,0.42935055756465507,0.034681206502841365,0.0,0.0
ISIC_0000022,18.70373127281467,0.0,0.0,0.10494281040854822,23.16977847020124,38.231064348835666,19.911237787515564,0.019009069685842844,0.0,1.0
ISIC_0000023,18.857677367243582,0.0,0.0,0.0,0.6300630773346332,15.029399371040753,65.58182873379612,0.059949187641739995,0.0,0.0
ISIC_0000024,7.087716653772376,0.0,0.0,0.007350496918612783,43.91003096756311,0.12495844761641732,48.980036217176284,0.02625858196952326,0.0,0.0
ISIC_0000025,98.19191792943201,0.0,0.0,0.024718359603913553,0.0,0.5296791343695761,1.613755762712642,0.050837633415444256,0.0,0.0
ISIC_0000026,34.825533557674305,0.0,0.0,0.04459523457140482,2.1985450643702573,0.16723212964276807,62.856983128395086,0.030815402225340745,0.0,1.0
